,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,0.013914158,0.122366175,0.008367581,,0.013004105,0.150529876,0.01086459,,0.012967443,0.139943302,0.011899026,,0.014179127,0.210632995,0.012208018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008459412,,,,0.013363902,,,,0.015482384,,,,0.013478627,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011720714,,,,0.01086459,,,,0.017930314,,,,0.016369393,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025121627,,,,0.021791846,,,,0.016776709,,,,0.019663515,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0157288,,,,0.01561607,,,,0.019051939,,,,0.020419864,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019037122,,,,0.02157069,,,,0.017341437,,,,0.023601426,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012206621,,,,0.011070252,,,,0.015473624,,,,0.045026287,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026591742,,,,0.024888465,,,,0.011899026,,,,0.023343362,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013723658,,,,0.062193327,,,,0.012170534,,,,0.013296283,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008367581,,,,0.086350009,,,,0.096113086,,,,0.019005412,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014465293,,,,0.024934663,,,,0.096915446,,,,0.026019851,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012478818,,,,0.035086293,,,,0.015138623,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105858475,,,,,,,,0.044981454,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034693021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017021669,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045805164,,,,,,,,,,,,,,
